Timestamp	Type	Description	Object Name	Game Object Name	Object ID	Game Object ID	Scope

 0:01:49.290	Bank	Bank Load Request Received (from dcp_the_core.bnk)	DCP_the_core		2981918260		 
 0:01:49.290	Bank	Bank Loaded (from DCP_the_core)	DCP_the_core		2981918260		 
 0:01:49.376	Event	Event Triggered	Map_Loaded	Local Player	1758594367	151519304	Game Object
 0:01:49.376	Action Triggered	Stop All		Global			Global
 0:01:49.376	Action Delayed	Play. Delay: 500 ms	Cube_Main_Theme	Local Player	3	151519304	Game Object
 0:01:49.376	Action Delayed	Play. Delay: 2000 ms	Heartbeat	Local Player	549886126	151519304	Game Object
 0:01:49.376	Event	Event Triggered	Teleporter	Teleport (Entity #171)	3373753397	171	Game Object
 0:01:49.376	Action Triggered	Play	Teleporter	Teleport (Entity #171)	503901852	171	Game Object
 0:01:49.376	Event	Event Triggered	Spawn_Player	Local Player	1379053034	151519304	Game Object
 0:01:49.376	Action Triggered	Set State	Alive	Global	655265632		Global
 0:01:49.376	Action Triggered	Set State	No	Global	1668749452		Global
 0:01:49.376	Action Triggered	Set State	No	Global	1668749452		Global
 0:01:49.376	Event	Event Triggered	DCP_Music	Local Player	3721111614	151519304	Game Object
 0:01:49.376	Action Triggered	Play	Cube_Main_Theme	Local Player	3	151519304	Game Object
 0:01:49.866	Action Triggered	Play	Cube_Main_Theme	Local Player	3	151519304	Game Object
 0:01:51.360	Action Triggered	Play	Heartbeat	Local Player	549886126	151519304	Game Object
 0:02:30.442	Switch	Switch to "Sand"	Material	Local Player	3865314626	151519304	Game Object
 0:02:30.442	Switch	Switch to "Left"	Foot	Local Player	3031504797	151519304	Game Object
 0:02:30.442	Event	Event Triggered	Foot_Player	Local Player	1894362767	151519304	Game Object
 0:02:30.442	Action Triggered	Play	Footsteps	Local Player	76	151519304	Game Object
 0:02:30.485	Event	Event Triggered	SplashIn_Player	Local Player	3954482959	151519304	Game Object
 0:02:30.485	Action Triggered	Play	Splash2	Local Player	101	151519304	Game Object
 0:02:30.485	Action Triggered	Set State	Yes	Global	979470758		Global
 0:02:30.485	State Changed	From state "No" to state "Yes"	PlayerInWater		481714212		 
 0:02:30.485	Action Triggered	Play	Under_Water	Local Player	789416417	151519304	Game Object
 0:02:30.592	Event	Event Triggered	SplashOut_Player	Local Player	3877942876	151519304	Game Object
 0:02:30.592	Action Triggered	Play	Splash1	Local Player	121	151519304	Game Object
 0:02:30.592	Action Triggered	Set State	No	Global	1668749452		Global
 0:02:30.592	State Changed	From state "Yes" to state "No"	PlayerInWater		481714212		 
 0:02:30.592	Action Triggered	Stop	Under_Water	Local Player	789416417	151519304	Game Object
 0:02:30.613	Switch	Switch to "Sand"	Material	Local Player	3865314626	151519304	Game Object
 0:02:30.613	Switch	Switch to "Right"	Foot	Local Player	3031504797	151519304	Game Object
 0:02:30.613	Event	Event Triggered	Foot_Player	Local Player	1894362767	151519304	Game Object
 0:02:30.613	Action Triggered	Play	Footsteps	Local Player	76	151519304	Game Object
 0:02:30.762	Switch	Switch to "Sand"	Material	Local Player	3865314626	151519304	Game Object
 0:02:30.762	Switch	Switch to "Left"	Foot	Local Player	3031504797	151519304	Game Object
 0:02:30.762	Event	Event Triggered	Foot_Player	Local Player	1894362767	151519304	Game Object
 0:02:30.762	Action Triggered	Play	Footsteps	Local Player	76	151519304	Game Object
 0:02:30.933	Switch	Switch to "Sand"	Material	Local Player	3865314626	151519304	Game Object
 0:02:30.933	Switch	Switch to "Right"	Foot	Local Player	3031504797	151519304	Game Object
 0:02:30.933	Event	Event Triggered	Foot_Player	Local Player	1894362767	151519304	Game Object
 0:02:30.933	Action Triggered	Play	Footsteps	Local Player	76	151519304	Game Object
 0:02:31.104	Switch	Switch to "Sand"	Material	Local Player	3865314626	151519304	Game Object
 0:02:31.104	Switch	Switch to "Left"	Foot	Local Player	3031504797	151519304	Game Object
 0:02:31.104	Event	Event Triggered	Foot_Player	Local Player	1894362767	151519304	Game Object
 0:02:31.104	Action Triggered	Play	Footsteps	Local Player	76	151519304	Game Object
 0:02:31.253	Switch	Switch to "Sand"	Material	Local Player	3865314626	151519304	Game Object
 0:02:31.253	Switch	Switch to "Right"	Foot	Local Player	3031504797	151519304	Game Object
 0:02:31.253	Event	Event Triggered	Foot_Player	Local Player	1894362767	151519304	Game Object
 0:02:31.253	Action Triggered	Play	Footsteps	Local Player	76	151519304	Game Object
 0:02:31.424	Switch	Switch to "Sand"	Material	Local Player	3865314626	151519304	Game Object
 0:02:31.424	Switch	Switch to "Left"	Foot	Local Player	3031504797	151519304	Game Object
 0:02:31.424	Event	Event Triggered	Foot_Player	Local Player	1894362767	151519304	Game Object
